Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1798.704121
FDW14,OUT017,1418.441242
NCN55,OUT010,607.9207168
FDQ58,OUT017,2166.569593
FDY38,OUT027,5307.220328
FDH56,OUT046,1982.936343
FDL48,OUT018,829.1987397
FDC48,OUT027,2232.01826
FDN33,OUT045,1515.547948
FDA36,OUT017,2902.398847
FDT44,OUT017,1833.983617
FDQ56,OUT045,1570.497877
NCC54,OUT019,679.2728683
FDU11,OUT049,2075.675647
DRL59,OUT013,795.9251319
FDM24,OUT049,2573.43502
FDI57,OUT045,3830.174393
DRC12,OUT018,3127.317946
NCM42,OUT027,2753.075377
FDA46,OUT010,459.6774201
FDA31,OUT013,3052.239498
NCJ31,OUT035,3468.766733
FDG52,OUT046,848.8587444
NCL19,OUT019,316.4126634
FDS10,OUT035,3274.997084
FDX22,OUT010,502.8737128
NCF19,OUT035,815.5321943
NCE06,OUT046,2535.152296
DRC27,OUT046,3647.053629
FDE21,OUT035,2075.632922
NCR42,OUT019,133.2487313
FDX51,OUT018,2648.708385
NCR06,OUT018,734.4141931
FDU31,OUT027,5357.080971
FDU59,OUT017,2294.902105
FDR03,OUT027,5417.376508
FDS49,OUT027,2380.801618
FDD48,OUT010,218.5514117
NCF18,OUT017,3077.800844
NCD43,OUT027,2608.989074
NCD54,OUT018,1973.114902
FDY19,OUT010,243.1955654
NCY54,OUT017,2542.786047
NCL19,OUT018,2074.102276
FDP23,OUT010,574.5924527
FDC26,OUT013,1991.039048
FDR14,OUT010,193.7613832
NCS41,OUT035,3074.105988
FDF41,OUT035,3817.817292
FDU34,OUT046,2111.324986
DRH11,OUT046,1057.665054
FDM03,OUT013,2032.257128
FDS31,OUT017,3181.758551
FDJ20,OUT017,2140.769767
FDV44,OUT027,4800.565753
FDG02,OUT049,2871.420526
FDA09,OUT013,3712.695618
FDT04,OUT013,679.9613711
FDL58,OUT019,602.3405648
FDE52,OUT045,1405.077073
FDW12,OUT035,2719.613714
FDL51,OUT017,3317.470309
NCY42,OUT027,3197.61856
FDR07,OUT017,1943.548705
FDN40,OUT045,2390.064644
FDB35,OUT027,2597.187452
FDA22,OUT017,2791.705253
NCL06,OUT046,3772.794789
FDI35,OUT013,3324.34902
NCW42,OUT045,3484.267805
NCX06,OUT049,3375.451757
FDC37,OUT027,2604.562972
FDZ14,OUT018,1758.999838
DRG49,OUT049,4572.903152
NCG06,OUT045,3554.527812
DRC36,OUT045,2681.268823
FDV21,OUT019,356.9918065
FDB53,OUT046,2931.432224
DRP47,OUT019,590.9461592
FDA14,OUT013,2235.404823
DRC24,OUT035,2750.457901
FDW21,OUT018,1462.733937
NCH29,OUT046,2046.075772
FDU58,OUT013,2983.663407
FDY27,OUT017,2413.424172
FDV56,OUT035,1954.795434
FDT59,OUT046,4234.543706
FDB23,OUT046,3549.560313
FDR49,OUT045,895.1066668
FDB03,OUT010,615.4279431
FDN39,OUT045,2734.444842
FDX02,OUT027,5204.722866
FDQ16,OUT027,2725.137576
FDU35,OUT018,1600.587275
NCT29,OUT013,1774.61242
FDZ27,OUT046,906.9832383
FDN57,OUT017,2309.028119
FDA03,OUT018,2045.705751
FDZ36,OUT045,3398.394437
NCU05,OUT013,1277.4979
FDT39,OUT018,2258.204643
FDK60,OUT017,1682.154174
FDZ25,OUT017,3010.514282
FDG12,OUT046,2416.590477
DRB01,OUT019,448.2437461
NCC43,OUT027,5749.639116
FDX13,OUT019,632.1062814
FDM22,OUT049,937.3264562
FDJ03,OUT027,1863.427044
FDU14,OUT018,3817.41544
FDB33,OUT010,397.7819377
FDP27,OUT046,3328.844633
FDO38,OUT010,197.5658482
FDE28,OUT027,5444.604275
FDO27,OUT035,1660.597867
DRL23,OUT027,2611.248813
FDS28,OUT046,972.4639913
FDX24,OUT013,1294.180966
FDZ02,OUT035,1411.286282
FDL46,OUT045,1644.164997
FDS60,OUT027,4457.583013
NCO06,OUT017,660.385217
FDO16,OUT035,1559.411292
FDC60,OUT049,1570.877323
FDA48,OUT018,3297.867712
FDZ36,OUT027,4526.715743
FDK27,OUT045,1915.857998
FDW23,OUT018,799.8793791
FDM14,OUT018,1538.392436
FDM14,OUT013,1618.350124
FDW60,OUT018,2652.538779
FDE21,OUT013,1879.870473
NCM42,OUT035,1965.182004
FDY59,OUT010,181.2811129
DRI49,OUT049,1481.938622
FDT28,OUT019,306.9153846
FDQ22,OUT018,709.5820386
FDR60,OUT049,1170.718772
FDC50,OUT019,324.8934473
FDV24,OUT013,2621.237752
DRF48,OUT010,539.7013654
FDQ47,OUT046,904.2128527
DRN36,OUT049,1777.226724
NCY06,OUT035,2122.414085
FDE52,OUT035,1457.492224
NCB54,OUT045,1757.794849
NCF31,OUT035,2551.29146
FDJ08,OUT027,4891.513039
NCC07,OUT017,1873.243952
NCD19,OUT027,1976.224912
FDL46,OUT049,1853.840353
FDM20,OUT045,3970.294264
NCI06,OUT010,445.3797067
DRM11,OUT035,4019.970812
NCH07,OUT018,2321.693079
FDS23,OUT013,1976.203985
FDO49,OUT018,819.3667008
FDS35,OUT049,1097.222469
