SalePrice,Id
141081.16633185232,1461
152597.56618245144,1462
182881.12869457016,1463
192983.03479290952,1464
205858.8640949336,1465
174353.64693355747,1466
185992.12488530157,1467
164659.04439746658,1468
204912.6297667256,1469
120952.35409012088,1470
192332.47904947004,1471
95508.02294419718,1472
98105.47312766302,1473
140866.11110987153,1474
108412.41641814332,1475
378992.43174834875,1476
260894.5172683252,1477
313688.9060922243,1478
307834.94509194326,1479
470559.1645973099,1480
317577.68983213615,1481
215349.34871446993,1482
180390.57784037793,1483
160170.32229441137,1484
182973.35201594606,1485
188165.27550180093,1486
335411.9721249731,1487
235024.84823996574,1488
203229.1605731675,1489
261454.345078598,1490
193724.04416265327,1491
130538.16026708821,1492
202111.50443569606,1493
321411.2115193979,1494
288525.39051292,1495
255072.3117176589,1496
177341.43286533921,1497
173711.5399203587,1498
153291.67096054112,1499
151063.77164337703,1500
196504.73234365846,1501
152932.49327276775,1502
285575.4899638293,1503
241848.77469090547,1504
229649.92258754023,1505
199444.21812964568,1506
253931.45474863262,1507
201044.17946489074,1508
165023.42173008888,1509
143978.28036570188,1510
158050.44235906354,1511
171630.12000375323,1512
142202.29617275158,1513
155821.62293836963,1514
206964.71437339147,1515
155395.39812124684,1516
171275.53424761456,1517
127090.24908781832,1518
212983.59585225314,1519
125857.46551720088,1520
132630.70376422454,1521
186560.04823651141,1522
114766.15693040018,1523
123261.38890989893,1524
122954.98913083796,1525
107662.07206800429,1526
99287.98862967547,1527
129771.38885537302,1528
152983.78308805742,1529
195023.91974766634,1530
118145.62209837884,1531
89080.5091359081,1532
163593.24713890254,1533
133424.94639092777,1534
139973.81849021174,1535
93113.97187707433,1536
45462.12107187568,1537
136172.36101672682,1538
192036.9898118833,1539
132824.40041689004,1540
143719.07741180412,1541
164990.9225613569,1542
201385.61458320403,1543
103147.30428126303,1544
117011.22524671152,1545
147003.05483705027,1546
153040.31608935632,1547
153178.18585667817,1548
131571.60584051744,1549
149234.7924780373,1550
96538.2238075214,1551
163971.7004178794,1552
148876.1333699854,1553
122328.62203072896,1554
163264.78064266185,1555
57858.09430436825,1556
129133.81213165435,1557
102238.30097296834,1558
53661.48555233504,1559
120178.58123288373,1560
136200.10677238763,1561
126787.77579564997,1562
123325.03601981024,1563
174666.46131897322,1564
149893.15042719012,1565
236011.32690266322,1566
78304.65858499228,1567
227867.31931940315,1568
132810.09573646903,1569
125325.57854921813,1570
82813.6199100907,1571
143326.38656716596,1572
221101.65421317006,1573
122221.22451627906,1574
224674.50749362656,1575
237316.47919958085,1576
188011.69641711586,1577
149407.90929556498,1578
145799.23858148337,1579
194230.20884790772,1580
155410.38882324612,1581
133714.53957354615,1582
260512.17252484453,1583
223799.48894866498,1584
139261.4541756668,1585
64174.254767506616,1586
104311.67145466479,1587
164438.8466740481,1588
101212.71430058521,1589
133073.43169915117,1590
82097.29919917113,1591
137298.69853408914,1592
126044.73989474354,1593
188064.4255727576,1594
108014.54021825083,1595
230496.99983078754,1596
207338.37882618327,1597
211471.87457664206,1598
177058.17948403116,1599
154254.98731421505,1600
58689.90962143894,1601
110615.02078701567,1602
60723.36881270388,1603
