Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1813.413978
FDW14,OUT017,1391.763158
NCN55,OUT010,626.0119846
FDQ58,OUT017,2164.516589
FDY38,OUT027,5397.105098
FDH56,OUT046,1998.333063
FDL48,OUT018,819.5073634
FDC48,OUT027,2188.278441
FDN33,OUT045,1517.440514
FDA36,OUT017,2940.310077
FDT44,OUT017,1840.992286
FDQ56,OUT045,1569.80745
NCC54,OUT019,648.6383127
FDU11,OUT049,2096.417928
DRL59,OUT013,792.7239221
FDM24,OUT049,2590.588508
FDI57,OUT045,3953.429412
DRC12,OUT018,3083.713931
NCM42,OUT027,2753.64131
FDA46,OUT010,488.6583554
FDA31,OUT013,3074.331896
NCJ31,OUT035,3542.425254
FDG52,OUT046,831.9776929
NCL19,OUT019,327.5784945
FDS10,OUT035,3311.774987
FDX22,OUT010,500.341231
NCF19,OUT035,818.0355043
NCE06,OUT046,2548.063414
DRC27,OUT046,3544.287273
FDE21,OUT035,2050.547421
NCR42,OUT019,142.1484159
FDX51,OUT018,2678.845104
NCR06,OUT018,748.2988909
FDU31,OUT027,5327.626267
FDU59,OUT017,2250.36299
FDR03,OUT027,5421.817915
FDS49,OUT027,2330.95023
FDD48,OUT010,221.7895352
NCF18,OUT017,3054.597008
NCD43,OUT027,2632.964276
NCD54,OUT018,1955.559444
FDY19,OUT010,237.647167
NCY54,OUT017,2525.97343
NCL19,OUT018,2000.352207
FDP23,OUT010,566.6978947
FDC26,OUT013,2009.014301
FDR14,OUT010,192.6299557
NCS41,OUT035,3051.639647
FDF41,OUT035,3856.981231
FDU34,OUT046,2097.569427
DRH11,OUT046,1000.258282
FDM03,OUT013,2061.938541
FDS31,OUT017,3182.245503
FDJ20,OUT017,2135.952877
FDV44,OUT027,4858.040528
FDG02,OUT049,2830.043744
FDA09,OUT013,3747.181638
FDT04,OUT013,646.0677784
FDL58,OUT019,593.3850354
FDE52,OUT045,1407.543258
FDW12,OUT035,2749.024412
FDL51,OUT017,3228.63395
NCY42,OUT027,3315.925364
FDR07,OUT017,1833.692328
FDN40,OUT045,2365.496821
FDB35,OUT027,2638.140498
FDA22,OUT017,2783.264075
NCL06,OUT046,3731.64725
FDI35,OUT013,3332.341834
NCW42,OUT045,3471.115157
