Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1867.668005
FDW14,OUT017,1514.116691
NCN55,OUT010,1738.373551
FDQ58,OUT017,2463.506113
FDY38,OUT027,4767.383567
FDH56,OUT046,1904.207624
FDL48,OUT018,670.435913
FDC48,OUT027,2599.169951
FDN33,OUT045,515.6175402
FDA36,OUT017,2908.234385
FDT44,OUT017,1932.039196
FDQ56,OUT045,301.8298108
NCC54,OUT019,1784.666006
FDU11,OUT049,2024.027663
DRL59,OUT013,1015.100054
FDM24,OUT049,2488.240086
FDI57,OUT045,2023.667491
DRC12,OUT018,2596.192241
NCM42,OUT027,3006.500169
FDA46,OUT010,1052.7134
FDA31,OUT013,2686.143059
NCJ31,OUT035,3664.366036
FDG52,OUT046,809.9931128
NCL19,OUT019,392.8336687
FDS10,OUT035,2910.42759
FDX22,OUT010,1386.481629
NCF19,OUT035,997.7028006
NCE06,OUT046,2441.389252
DRC27,OUT046,3610.438003
FDE21,OUT035,1982.45296
NCR42,OUT019,1157.762077
FDX51,OUT018,2724.072045
NCR06,OUT018,503.9751017
FDU31,OUT027,4615.501742
FDU59,OUT017,2585.040535
FDR03,OUT027,4434.762688
FDS49,OUT027,2614.464296
FDD48,OUT010,44.69329636
NCF18,OUT017,2990.410625
NCD43,OUT027,2921.380027
NCD54,OUT018,1954.307789
FDY19,OUT010,16.05440181
NCY54,OUT017,2673.353729
NCL19,OUT018,1933.422362
FDP23,OUT010,1441.448332
FDC26,OUT013,1837.761613
FDR14,OUT010,998.4261775
NCS41,OUT035,2937.017051
FDF41,OUT035,3766.947461
FDU34,OUT046,1964.863585
DRH11,OUT046,984.9974725
FDM03,OUT013,1718.248851
FDS31,OUT017,2905.960561
FDJ20,OUT017,2071.425369
FDV44,OUT027,4197.432899
FDG02,OUT049,3022.857881
FDA09,OUT013,2881.863539
FDT04,OUT013,725.3779643
FDL58,OUT019,2180.924193
FDE52,OUT045,428.6060547
FDW12,OUT035,2433.811473
FDL51,OUT017,3358.786451
NCY42,OUT027,3461.271175
FDR07,OUT017,1647.473241
FDN40,OUT045,1217.694449
FDB35,OUT027,2793.803535
FDA22,OUT017,2592.755477
NCL06,OUT046,3910.136661
FDI35,OUT013,2821.287295
NCW42,OUT045,2286.086088
NCX06,OUT049,2879.95754
FDC37,OUT027,2978.91478
FDZ14,OUT018,1636.102796
DRG49,OUT049,3721.061133
NCG06,OUT045,2783.812667
DRC36,OUT045,1625.541099
FDV21,OUT019,81.84430251
FDB53,OUT046,2217.380023
DRP47,OUT019,1932.046881
FDA14,OUT013,2252.944407
DRC24,OUT035,2467.726782
FDW21,OUT018,1387.433802
NCH29,OUT046,1568.233682
FDU58,OUT013,2981.957692
FDY27,OUT017,2724.647271
FDV56,OUT035,1957.38346
FDT59,OUT046,3499.882151
FDB23,OUT046,3493.926066
FDR49,OUT045,218.8476553
FDB03,OUT010,1749.387359
FDN39,OUT045,1580.595053
FDX02,OUT027,4561.063964
FDQ16,OUT027,2929.232059
FDU35,OUT018,1300.354177
NCT29,OUT013,1982.272463
FDZ27,OUT046,815.0660899
FDN57,OUT017,2270.585829
FDA03,OUT018,1995.771521
FDZ36,OUT045,1806.623288
NCU05,OUT013,1399.424244
FDT39,OUT018,2097.002063
FDK60,OUT017,1699.928641
FDZ25,OUT017,2794.156453
FDG12,OUT046,1981.608706
DRB01,OUT019,1041.326403
NCC43,OUT027,4987.099248
FDX13,OUT019,1958.008759
FDM22,OUT049,1129.113345
FDJ03,OUT027,2148.559808
FDU14,OUT018,3420.382954
FDB33,OUT010,629.3601809
FDP27,OUT046,2847.643648
FDO38,OUT010,534.9408727
FDE28,OUT027,4734.626829
FDO27,OUT035,1672.150713
DRL23,OUT027,2995.051511
FDS28,OUT046,977.1339228
FDX24,OUT013,1546.038162
FDZ02,OUT035,1696.418947
FDL46,OUT045,808.24622
FDS60,OUT027,3982.469469
NCO06,OUT017,723.9138269
FDO16,OUT035,1465.858184
FDC60,OUT049,1559.753059
FDA48,OUT018,2987.387603
FDZ36,OUT027,4173.668525
FDK27,OUT045,843.2058378
FDW23,OUT018,403.3345618
FDM14,OUT018,1510.951864
FDM14,OUT013,1831.391162
FDW60,OUT018,2473.181352
FDE21,OUT013,1899.756815
NCM42,OUT035,1860.456729
FDY59,OUT010,336.6379279
DRI49,OUT049,1365.604804
FDT28,OUT019,475.573506
FDQ22,OUT018,470.2561718
FDR60,OUT049,1352.942345
FDC50,OUT019,285.7304377
FDV24,OUT013,2349.449211
DRF48,OUT010,982.3667359
FDQ47,OUT046,740.9550095
DRN36,OUT049,1644.327792
NCY06,OUT035,2145.902173
FDE52,OUT035,1611.624828
NCB54,OUT045,934.9748966
NCF31,OUT035,2474.361495
FDJ08,OUT027,4116.604704
NCC07,OUT017,1793.592148
NCD19,OUT027,2216.675449
FDL46,OUT049,2026.915344
FDM20,OUT045,2621.450182
NCI06,OUT010,896.631379
DRM11,OUT035,4000.779793
NCH07,OUT018,2124.835811
FDS23,OUT013,2048.060742
FDO49,OUT018,583.3427089
FDS35,OUT049,1218.481623
DRK39,OUT045,233.3160122
DRI39,OUT049,1060.672957
FDV04,OUT017,2480.740437
NCN14,OUT035,2881.025684
FDH08,OUT013,3517.861946
FDS20,OUT046,2771.179683
FDV40,OUT049,1345.627934
FDZ48,OUT010,101.8986857
FDS24,OUT027,2745.731491
FDK44,OUT049,2758.400494
FDS48,OUT045,1282.331162
FDK26,OUT010,1096.17077
FDD23,OUT045,1871.370402
NCH54,OUT017,2547.541455
NCP14,OUT010,200.0674952
FDM60,OUT010,1044.353763
FDV24,OUT017,2366.202793
FDH08,OUT018,3137.699267
FDS12,OUT027,3205.057889
FDR39,OUT027,3989.372563
FDP12,OUT027,2025.735702
DRF60,OUT027,4759.643818
FDC09,OUT035,1862.722754
FDF50,OUT018,2707.639841
FDG28,OUT035,3799.260952
NCE19,OUT017,1021.164657
NCM53,OUT010,95.8528962
NCN18,OUT049,1879.457407
FDF32,OUT035,3150.023239
FDF11,OUT013,3717.797346
DRI59,OUT049,3511.753986
NCG54,OUT035,2712.622139
FDM44,OUT046,1628.374982
FDT57,OUT018,3265.886597
FDV24,OUT046,2287.191766
FDI50,OUT019,1744.017077
FDS09,OUT035,1095.814469
NCC31,OUT027,3647.98773
FDQ07,OUT019,1541.157232
FDC22,OUT017,3013.470961
FDZ56,OUT046,2606.297244
FDZ40,OUT019,893.7833882
FDS46,OUT027,3197.544947
DRD24,OUT045,1091.637053
FDV45,OUT017,2962.915544
FDL26,OUT045,1387.141452
FDA56,OUT018,1641.608716
FDN27,OUT046,1879.403178
FDM20,OUT049,3775.247758
FDO16,OUT017,1383.05676
FDL03,OUT035,3186.286821
FDE58,OUT046,1861.587248
FDI02,OUT027,3125.616789
NCC55,OUT019,1076.990053
FDR03,OUT018,2899.571372
FDB14,OUT017,1689.112657
FDR45,OUT013,3664.952828
NCN07,OUT017,2096.016322
FDM51,OUT019,87.32215511
FDT52,OUT027,4947.601952
FDL26,OUT046,2422.417883
NCZ42,OUT046,3584.861159
DRI47,OUT019,488.165771
FDW40,OUT013,2249.826459
FDN34,OUT046,2685.502731
FDS01,OUT035,2902.546838
NCG55,OUT045,788.8662738
FDC11,OUT035,1549.490893
FDX35,OUT018,3171.90583
NCB06,OUT046,2479.120804
FDR09,OUT019,2060.139667
FDC53,OUT017,1594.447631
FDY45,OUT013,3896.539277
FDA22,OUT010,698.5223244
FDE02,OUT035,1676.478874
FDW21,OUT045,627.4658991
FDV34,OUT046,1309.049768
FDS59,OUT049,1951.736765
NCW17,OUT017,2118.47614
NCK54,OUT046,1852.219538
FDG17,OUT019,1885.674206
FDG35,OUT017,2833.526629
FDD08,OUT010,1130.97617
NCO07,OUT017,3233.212934
FDJ10,OUT010,362.6281064
FDW36,OUT017,1725.76711
FDW21,OUT010,145.6371922
FDY19,OUT017,1958.28168
DRE03,OUT013,881.9913462
NCC55,OUT049,826.7252305
FDH52,OUT010,742.1104515
FDO09,OUT017,4070.182521
FDU43,OUT045,2613.930108
FDX09,OUT010,806.3667718
FDH40,OUT019,432.1550979
FDW58,OUT017,1782.81129
FDC47,OUT017,3473.621196
NCR41,OUT035,1699.619708
DRG49,OUT035,3734.667337
FDC52,OUT027,3641.563805
FDY13,OUT046,1288.600303
FDY35,OUT013,982.7011558
FDI35,OUT017,2852.40288
NCU18,OUT049,2309.451692
FDY33,OUT018,2201.989217
FDC15,OUT027,3585.14062
FDU01,OUT049,3097.379999
NCU42,OUT046,2591.535572
NCV29,OUT018,2436.929488
NCY30,OUT017,2886.559883
FDQ46,OUT049,1859.164224
FDG58,OUT027,3687.063561
FDK33,OUT017,3320.65464
NCD07,OUT045,756.0633353
NCX29,OUT027,3495.957595
NCT42,OUT013,2333.516765
DRN59,OUT035,989.3224854
FDI44,OUT035,1430.125721
FDA45,OUT049,2816.615108
FDP31,OUT045,111.2196468
